device_type,hour,current_watts,avg_watts,rolling_avg,volatility,trend,label
Laptop,6,65.0,65,65.0,1.3,0.0,0
Luces,14,60.0,60,60.0,1.2,0.0,0
Secadora,4,2500.0,2500,2500.0,50.0,0.0,0
Aire Acondicionado,17,1126.79,1200,1126.79,24.0,-3.94,0
Secadora,15,2266.05,2500,2266.05,50.0,4.59,0
Lavadora,17,454.04,500,454.04,10.0,-4.6,0
Aire Acondicionado,2,1216.57,1200,1216.57,24.0,4.82,0
Calefactor,23,1500.0,1500,1500.0,30.0,0.0,0
Refrigerador,9,240.0,150,150.0,3.0,0.0,1
Refrigerador,11,240.0,150,150.0,3.0,0.0,1
Lavadora,17,500.0,500,500.0,10.0,0.0,0
Refrigerador,22,157.48,150,157.48,3.0,4.58,0
Refrigerador,14,146.61,150,146.61,3.0,-3.16,0
Mini Refrigerador,17,400.0,80,80.0,1.6,0.0,18
Microondas,19,1000.0,1000,1000.0,20.0,0.0,0
Microondas,14,939.03,1000,939.03,20.0,4.79,0
Microondas,8,1000.0,1000,1000.0,20.0,0.0,0
Microondas,3,1028.43,1000,1028.43,20.0,2.13,0
Lavadora,23,500.0,500,500.0,10.0,0.0,0
Calefactor,5,1531.18,1500,1531.18,30.0,-1.95,0
Calefactor,15,1500.0,1500,1500.0,30.0,0.0,0
Televisor,23,122.7,120,122.7,2.4,1.64,0
Secadora,5,2628.92,2500,2628.92,50.0,-0.77,0
Computadora,14,300.0,300,300.0,6.0,0.0,0
Microondas,3,1084.9,1000,1084.9,20.0,0.53,0
Calefactor,7,1464.18,1500,1464.18,30.0,2.46,0
Televisor,1,3.0,120,3.0,2.4,-3.11,0
Secadora,18,12500.0,2500,2500.0,50.0,0.0,18
Lavadora,6,505.85,500,505.85,10.0,-0.03,0
Horno,16,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,8,506.49,500,506.49,10.0,-0.12,0
Laptop,14,65.0,65,65.0,1.3,0.0,0
Laptop,18,68.1,65,68.1,1.3,-3.12,0
Refrigerador,18,138.94,150,138.94,3.0,-0.21,0
Mini Refrigerador,9,76.42,80,76.42,1.6,4.55,0
Lavadora,2,494.92,500,494.92,10.0,-2.95,0
Aire Acondicionado,21,1311.25,1200,1311.25,24.0,4.09,0
Router,8,10.89,12,10.89,0.24,-4.9,0
Luces,18,56.61,60,56.61,1.2,0.57,0
Mini Refrigerador,17,400.0,80,80.0,1.6,0.0,18
Mini Refrigerador,16,72.39,80,72.39,1.6,1.29,0
Router,20,12.0,12,12.0,0.24,0.0,0
Luces,4,63.26,60,63.26,1.2,-4.74,0
Horno,3,2351.5,2200,2351.5,44.0,2.07,0
Laptop,0,69.75,65,69.75,1.3,-0.04,0
Mini Refrigerador,10,80.0,80,80.0,1.6,0.0,0
Horno,14,2260.05,2200,2260.05,44.0,-2.25,0
Horno,8,2200.0,2200,2200.0,44.0,0.0,0
Televisor,12,112.95,120,112.95,2.4,2.58,0
Televisor,0,120.0,120,120.0,2.4,0.0,0
Televisor,7,120.0,120,120.0,2.4,0.0,0
Microondas,12,996.23,1000,996.23,20.0,0.68,0
Horno,3,2200.0,2200,2200.0,44.0,0.0,0
Computadora,20,300.0,300,300.0,6.0,0.0,0
Lavadora,21,520.35,500,520.35,10.0,-3.51,0
Aire Acondicionado,5,1874.0,1200,1874.0,24.0,-0.77,4
Horno,23,2205.24,2200,2205.24,44.0,2.64,0
Refrigerador,15,157.21,150,157.21,3.0,-2.29,0
Mini Refrigerador,1,81.28,80,81.28,1.6,-0.18,0
Mini Refrigerador,0,81.0,80,81.0,1.6,-0.48,0
Luces,8,55.97,60,55.97,1.2,1.72,0
Calefactor,11,1500.0,1500,1500.0,30.0,0.0,0
Calefactor,4,1500.0,1500,1500.0,30.0,0.0,0
Televisor,14,116.74,120,116.74,2.4,-0.65,0
Router,17,12.0,12,12.0,0.24,0.0,0
Luces,13,55.24,60,55.24,1.2,-0.68,0
Calefactor,9,1600.96,1500,1600.96,30.0,4.8,0
Horno,16,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,20,539.87,500,539.87,10.0,-2.39,0
Televisor,23,125.98,120,125.98,2.4,0.9,0
Lavadora,20,489.74,500,489.74,10.0,1.49,0
Computadora,21,314.39,300,314.39,6.0,-3.22,0
Aire Acondicionado,7,1648.92,1200,1648.92,24.0,1.11,4
Aire Acondicionado,12,1800.0,1200,1200.0,24.0,40.0,3
Televisor,19,125.42,120,125.42,2.4,-2.41,0
Laptop,12,62.24,65,62.24,1.3,2.76,0
Calefactor,5,7500.0,1500,1500.0,30.0,0.0,18
Router,22,12.92,12,12.92,0.24,-3.54,0
Secadora,21,2603.1,2500,2603.1,50.0,1.87,0
Aire Acondicionado,13,1302.64,1200,1302.64,24.0,2.35,0
Mini Refrigerador,19,400.0,80,80.0,1.6,0.0,18
Secadora,2,2500.0,2500,2500.0,50.0,0.0,0
Horno,7,11000.0,2200,2200.0,44.0,0.0,18
Aire Acondicionado,4,1184.7,1200,1184.7,24.0,-0.11,0
Horno,6,2200.0,2200,2200.0,44.0,0.0,0
Laptop,17,65.0,65,65.0,1.3,0.0,0
Laptop,12,70.13,65,70.13,1.3,-4.38,0
Laptop,3,67.04,65,67.04,1.3,0.14,0
Horno,19,2207.38,2200,2207.38,44.0,-2.43,0
Televisor,22,120.0,120,120.0,2.4,0.0,0
Televisor,8,600.0,120,120.0,2.4,0.0,18
Aire Acondicionado,8,1995.68,1200,1995.68,24.0,-0.32,4
Refrigerador,3,240.0,150,150.0,3.0,0.0,1
Computadora,10,300.0,300,300.0,6.0,0.0,0
Refrigerador,20,144.1,150,144.1,3.0,-1.23,0
Calefactor,6,1409.74,1500,1409.74,30.0,0.22,0
Luces,12,58.53,60,58.53,1.2,2.04,0
Calefactor,4,1500.0,1500,1500.0,30.0,0.0,0
Aire Acondicionado,9,1108.41,1200,1108.41,24.0,-4.75,0
Computadora,22,360.0,300,300.0,0.1,0.0,7
Secadora,5,2499.28,2500,2499.28,50.0,-0.15,0
Aire Acondicionado,9,1752.74,1200,1752.74,24.0,0.3,4
Mini Refrigerador,0,80.0,80,80.0,1.6,0.0,0
Laptop,12,61.7,65,61.7,1.3,2.19,0
Computadora,9,360.0,300,300.0,0.1,0.0,7
Aire Acondicionado,3,1159.93,1200,1159.93,24.0,1.11,0
Microondas,7,1090.22,1000,1090.22,20.0,4.9,0
Aire Acondicionado,0,1923.19,1200,1923.19,24.0,-1.78,4
Router,22,10.92,12,10.92,0.24,4.88,0
Refrigerador,10,159.34,150,159.34,3.0,2.53,0
Televisor,8,120.0,120,120.0,2.4,0.0,0
Televisor,10,113.46,120,113.46,2.4,3.15,0
Lavadora,20,500.0,500,500.0,10.0,0.0,0
Laptop,10,65.0,65,65.0,1.3,0.0,0
Refrigerador,7,141.47,150,141.47,3.0,4.27,0
Refrigerador,8,240.0,150,150.0,3.0,0.0,1
Router,14,11.48,12,11.48,0.24,1.97,0
Luces,1,60.0,60,60.0,1.2,0.0,0
Mini Refrigerador,23,80.0,80,80.0,1.6,0.0,0
Calefactor,9,1622.49,1500,1622.49,30.0,-3.79,0
Aire Acondicionado,16,1800.0,1200,1200.0,24.0,40.0,3
Lavadora,12,490.14,500,490.14,10.0,-4.69,0
Horno,10,2155.97,2200,2155.97,44.0,2.68,0
Luces,2,54.63,60,54.63,1.2,4.01,0
Luces,4,64.86,60,64.86,1.2,3.51,0
Luces,12,60.0,60,60.0,1.2,0.0,0
Mini Refrigerador,23,80.0,80,80.0,1.6,0.0,0
Computadora,0,300.0,300,300.0,6.0,0.0,0
Lavadora,23,501.33,500,501.33,10.0,-2.67,0
Luces,10,59.65,60,59.65,1.2,4.09,0
Computadora,7,313.15,300,313.15,6.0,-1.75,0
Televisor,15,120.0,120,120.0,2.4,0.0,0
Laptop,15,65.0,65,65.0,1.3,0.0,0
Laptop,16,67.46,65,67.46,1.3,-2.6,0
Mini Refrigerador,23,75.37,80,75.37,1.6,1.56,0
Aire Acondicionado,9,1283.97,1200,1283.97,24.0,2.25,0
Calefactor,0,7500.0,1500,1500.0,30.0,0.0,18
Lavadora,23,2500.0,500,500.0,10.0,0.0,18
Laptop,23,59.82,65,59.82,1.3,4.78,0
Microondas,19,921.57,1000,921.57,20.0,-1.6,0
Mini Refrigerador,4,80.0,80,80.0,1.6,0.0,0
Aire Acondicionado,5,1124.36,1200,1124.36,24.0,1.1,0
Secadora,13,2278.74,2500,2278.74,50.0,0.98,0
Computadora,7,300.0,300,300.0,6.0,0.0,0
Refrigerador,21,240.0,150,150.0,3.0,0.0,1
Lavadora,1,529.55,500,529.55,10.0,0.54,0
Microondas,14,1000.0,1000,1000.0,20.0,0.0,0
Lavadora,10,538.65,500,538.65,10.0,1.87,0
Router,8,13.12,12,13.12,0.24,2.09,0
Refrigerador,6,147.47,150,147.47,3.0,-1.96,0
Aire Acondicionado,10,1319.74,1200,1319.74,24.0,-0.85,0
Laptop,11,70.14,65,70.14,1.3,-0.47,0
Secadora,11,2491.1,2500,2491.1,50.0,0.75,0
Televisor,3,3.0,120,3.0,2.4,0.82,0
Laptop,8,62.01,65,62.01,1.3,-4.96,0
Horno,18,11000.0,2200,2200.0,44.0,0.0,18
Luces,11,60.0,60,60.0,1.2,0.0,0
Router,7,11.48,12,11.48,0.24,-4.78,0
Laptop,8,70.96,65,70.96,1.3,-0.6,0
Lavadora,4,481.3,500,481.3,10.0,-2.78,0
Laptop,21,65.0,65,65.0,1.3,0.0,0
Laptop,19,65.0,65,65.0,1.3,0.0,0
Luces,2,58.18,60,58.18,1.2,-1.59,0
Luces,20,56.88,60,56.88,1.2,-0.3,0
Microondas,4,1000.0,1000,1000.0,20.0,0.0,0
Mini Refrigerador,22,81.08,80,81.08,1.6,-2.31,0
Luces,21,60.0,60,60.0,1.2,0.0,0
Luces,6,60.0,60,60.0,1.2,0.0,0
Microondas,2,946.07,1000,946.07,20.0,0.17,0
Horno,3,2267.98,2200,2267.98,44.0,0.9,0
Refrigerador,5,144.47,150,144.47,3.0,4.08,0
Mini Refrigerador,10,83.52,80,83.52,1.6,1.38,0
Calefactor,2,1500.0,1500,1500.0,30.0,0.0,0
Horno,3,1984.46,2200,1984.46,44.0,-0.7,0
Televisor,10,124.91,120,124.91,2.4,1.99,0
Aire Acondicionado,2,1800.0,1200,1200.0,24.0,40.0,3
Computadora,0,51.77,300,51.77,6.0,3.96,0
Secadora,12,2467.05,2500,2467.05,50.0,2.47,0
Televisor,12,600.0,120,120.0,2.4,0.0,18
Luces,22,54.89,60,54.89,1.2,2.41,0
Televisor,4,120.0,120,120.0,2.4,0.0,0
Aire Acondicionado,22,1596.35,1200,1596.35,24.0,0.94,4
Lavadora,11,478.27,500,478.27,10.0,0.66,0
Calefactor,7,1500.0,1500,1500.0,30.0,0.0,0
Calefactor,5,1500.0,1500,1500.0,30.0,0.0,0
Laptop,2,65.0,65,65.0,1.3,0.0,0
Aire Acondicionado,9,1280.74,1200,1280.74,24.0,2.99,0
Computadora,3,3.0,300,3.0,6.0,-3.75,0
Aire Acondicionado,20,2064.06,1200,2064.06,24.0,0.67,4
Microondas,9,936.31,1000,936.31,20.0,-4.69,0
Secadora,11,2309.78,2500,2309.78,50.0,-4.31,0
Microondas,16,1000.0,1000,1000.0,20.0,0.0,0
Refrigerador,21,240.0,150,150.0,3.0,0.0,1
Aire Acondicionado,15,1997.61,1200,1997.61,24.0,-0.63,4
Horno,23,2200.0,2200,2200.0,44.0,0.0,0
Aire Acondicionado,6,2053.4,1200,2053.4,24.0,-1.94,4
Laptop,8,65.81,65,65.81,1.3,-1.97,0
Luces,18,60.0,60,60.0,1.2,0.0,0
Lavadora,5,506.93,500,506.93,10.0,-2.55,0
Luces,6,60.0,60,60.0,1.2,0.0,0
Computadora,10,300.0,300,300.0,6.0,0.0,0
Router,23,11.19,12,11.19,0.24,-4.59,0
Microondas,12,1048.77,1000,1048.77,20.0,-2.5,0
Aire Acondicionado,21,1085.95,1200,1085.95,24.0,-0.7,0
Microondas,13,1000.0,1000,1000.0,20.0,0.0,0
Horno,15,2174.88,2200,2174.88,44.0,-0.05,0
Computadora,11,292.39,300,292.39,6.0,-1.62,0
Horno,4,2389.88,2200,2389.88,44.0,-1.04,0
Secadora,18,2500.0,2500,2500.0,50.0,0.0,0
Televisor,8,120.0,120,120.0,2.4,0.0,0
Router,7,13.04,12,13.04,0.24,0.07,0
Computadora,18,360.0,300,300.0,0.1,0.0,7
Laptop,13,65.67,65,65.67,1.3,3.16,0
Aire Acondicionado,7,1800.0,1200,1200.0,24.0,40.0,3
Refrigerador,17,136.86,150,136.86,3.0,1.99,0
Secadora,12,2506.54,2500,2506.54,50.0,-3.93,0
Secadora,14,2500.0,2500,2500.0,50.0,0.0,0
Horno,9,2200.0,2200,2200.0,44.0,0.0,0
Luces,12,60.73,60,60.73,1.2,-0.49,0
Refrigerador,10,135.32,150,135.32,3.0,-4.93,0
Aire Acondicionado,13,1227.01,1200,1227.01,24.0,3.43,0
Aire Acondicionado,13,1180.01,1200,1180.01,24.0,4.47,0
Router,3,12.29,12,12.29,0.24,4.01,0
Secadora,21,2379.29,2500,2379.29,50.0,-3.85,0
Mini Refrigerador,13,80.0,80,80.0,1.6,0.0,0
Router,5,13.17,12,13.17,0.24,2.58,0
Microondas,20,1000.0,1000,1000.0,20.0,0.0,0
Luces,15,61.0,60,61.0,1.2,0.95,0
Aire Acondicionado,4,1916.37,1200,1916.37,24.0,1.88,4
Televisor,19,125.34,120,125.34,2.4,-0.86,0
Aire Acondicionado,17,1800.0,1200,1200.0,24.0,40.0,3
Secadora,10,2318.31,2500,2318.31,50.0,4.24,0
Laptop,21,66.11,65,66.11,1.3,-1.13,0
Lavadora,18,500.0,500,500.0,10.0,0.0,0
Lavadora,13,520.25,500,520.25,10.0,-4.39,0
Refrigerador,6,240.0,150,150.0,3.0,0.0,1
Router,2,12.71,12,12.71,0.24,3.84,0
Secadora,6,2342.47,2500,2342.47,50.0,-1.01,0
Laptop,9,70.81,65,70.81,1.3,4.7,0
Laptop,6,69.6,65,69.6,1.3,3.33,0
Refrigerador,10,156.4,150,156.4,3.0,1.83,0
Lavadora,17,475.17,500,475.17,10.0,4.0,0
Aire Acondicionado,3,1800.0,1200,1200.0,24.0,40.0,3
Refrigerador,18,154.79,150,154.79,3.0,-4.77,0
Secadora,0,2518.41,2500,2518.41,50.0,2.66,0
Televisor,15,112.47,120,112.47,2.4,3.17,0
Televisor,2,120.0,120,120.0,2.4,0.0,0
Laptop,7,68.12,65,68.12,1.3,-0.75,0
Computadora,16,322.39,300,322.39,6.0,-2.62,0
Laptop,2,65.08,65,65.08,1.3,-2.93,0
Televisor,14,123.14,120,123.14,2.4,3.41,0
Aire Acondicionado,17,1782.72,1200,1782.72,24.0,1.84,4
Aire Acondicionado,18,1196.37,1200,1196.37,24.0,2.33,0
Calefactor,15,1564.47,1500,1564.47,30.0,-4.32,0
Router,20,12.0,12,12.0,0.24,0.0,0
Laptop,2,59.54,65,59.54,1.3,-1.63,0
Luces,0,60.0,60,60.0,1.2,0.0,0
Lavadora,16,467.05,500,467.05,10.0,0.54,0
Aire Acondicionado,22,1193.21,1200,1193.21,24.0,4.2,0
Computadora,8,320.06,300,320.06,6.0,-3.56,0
Aire Acondicionado,16,1240.33,1200,1240.33,24.0,2.83,0
Televisor,21,123.97,120,123.97,2.4,-0.1,0
Laptop,21,62.2,65,62.2,1.3,1.18,0
Secadora,19,2483.11,2500,2483.11,50.0,1.08,0
Microondas,13,1028.23,1000,1028.23,20.0,-0.02,0
Aire Acondicionado,13,1255.0,1200,1255.0,24.0,0.21,0
Secadora,14,2500.0,2500,2500.0,50.0,0.0,0
Refrigerador,10,240.0,150,150.0,3.0,0.0,1
Router,22,13.06,12,13.06,0.24,4.84,0
Lavadora,20,2500.0,500,500.0,10.0,0.0,18
Lavadora,10,500.0,500,500.0,10.0,0.0,0
Refrigerador,14,240.0,150,150.0,3.0,0.0,1
Secadora,5,2500.0,2500,2500.0,50.0,0.0,0
Refrigerador,20,240.0,150,150.0,3.0,0.0,1
Televisor,8,127.82,120,127.82,2.4,-2.04,0
Mini Refrigerador,10,86.71,80,86.71,1.6,-1.19,0
Televisor,0,120.0,120,120.0,2.4,0.0,0
Calefactor,11,1399.71,1500,1399.71,30.0,-2.35,0
Lavadora,8,500.0,500,500.0,10.0,0.0,0
Calefactor,14,1500.0,1500,1500.0,30.0,0.0,0
Refrigerador,16,240.0,150,150.0,3.0,0.0,1
Calefactor,13,1529.71,1500,1529.71,30.0,4.67,0
Microondas,17,1017.63,1000,1017.63,20.0,4.05,0
Secadora,3,2500.0,2500,2500.0,50.0,0.0,0
Microondas,11,1000.0,1000,1000.0,20.0,0.0,0
Secadora,10,2372.21,2500,2372.21,50.0,-1.88,0
Horno,12,2205.83,2200,2205.83,44.0,4.38,0
Laptop,13,65.0,65,65.0,1.3,0.0,0
Refrigerador,16,240.0,150,150.0,3.0,0.0,1
Microondas,11,957.83,1000,957.83,20.0,-2.81,0
Horno,13,2200.0,2200,2200.0,44.0,0.0,0
Computadora,3,3.0,300,3.0,6.0,-1.68,0
Laptop,8,65.0,65,65.0,1.3,0.0,0
Computadora,21,310.67,300,310.67,6.0,-0.15,0
Refrigerador,4,240.0,150,150.0,3.0,0.0,1
Luces,6,64.19,60,64.19,1.2,3.7,0
Lavadora,11,486.66,500,486.66,10.0,-3.13,0
Calefactor,4,7500.0,1500,1500.0,30.0,0.0,18
Mini Refrigerador,15,80.0,80,80.0,1.6,0.0,0
Laptop,14,64.06,65,64.06,1.3,-3.59,0
Televisor,23,600.0,120,120.0,2.4,0.0,18
Computadora,20,321.61,300,321.61,6.0,1.16,0
Computadora,6,3.0,300,3.0,6.0,4.91,0
Microondas,7,1000.0,1000,1000.0,20.0,0.0,0
Luces,15,56.34,60,56.34,1.2,-0.06,0
Computadora,5,3.0,300,3.0,6.0,-0.92,0
Laptop,0,65.0,65,65.0,1.3,0.0,0
Luces,3,60.0,60,60.0,1.2,0.0,0
Computadora,20,289.0,300,289.0,6.0,3.83,0
Horno,20,2124.72,2200,2124.72,44.0,-1.08,0
Microondas,12,1000.14,1000,1000.14,20.0,1.71,0
Luces,7,60.65,60,60.65,1.2,2.22,0
Router,2,12.09,12,12.09,0.24,1.77,0
Computadora,9,300.0,300,300.0,6.0,0.0,0
Lavadora,8,500.0,500,500.0,10.0,0.0,0
Calefactor,15,1587.11,1500,1587.11,30.0,-1.45,0
Router,2,12.55,12,12.55,0.24,4.21,0
Secadora,13,2500.0,2500,2500.0,50.0,0.0,0
Laptop,0,60.33,65,60.33,1.3,-2.77,0
Refrigerador,15,157.43,150,157.43,3.0,-3.66,0
Secadora,16,2391.4,2500,2391.4,50.0,-0.1,0
Luces,9,57.87,60,57.87,1.2,-4.1,0
Televisor,14,121.05,120,121.05,2.4,-4.48,0
Mini Refrigerador,16,72.49,80,72.49,1.6,1.49,0
Televisor,0,120.65,120,120.65,2.4,-1.72,0
Refrigerador,15,135.27,150,135.27,3.0,0.87,0
Refrigerador,6,164.02,150,164.02,3.0,1.88,0
Computadora,23,85.28,300,85.28,6.0,3.82,0
Mini Refrigerador,17,75.52,80,75.52,1.6,-4.61,0
Televisor,10,111.55,120,111.55,2.4,-1.03,0
Computadora,23,62.92,300,62.92,6.0,-3.97,0
Secadora,17,2345.29,2500,2345.29,50.0,-0.91,0
Luces,11,60.0,60,60.0,1.2,0.0,0
Televisor,10,117.18,120,117.18,2.4,-0.63,0
Microondas,11,1018.42,1000,1018.42,20.0,4.92,0
Luces,10,60.0,60,60.0,1.2,0.0,0
Refrigerador,10,151.14,150,151.14,3.0,-0.5,0
Router,8,12.0,12,12.0,0.24,0.0,0
Mini Refrigerador,21,80.0,80,80.0,1.6,0.0,0
Router,6,12.6,12,12.6,0.24,2.54,0
Refrigerador,22,164.1,150,164.1,3.0,2.55,0
Horno,7,2200.0,2200,2200.0,44.0,0.0,0
Laptop,23,58.52,65,58.52,1.3,-2.47,0
Computadora,2,300.0,300,300.0,6.0,0.0,17
Calefactor,20,1529.1,1500,1529.1,30.0,3.44,0
Router,2,12.0,12,12.0,0.24,0.0,0
Horno,21,2200.0,2200,2200.0,44.0,0.0,0
Laptop,9,65.95,65,65.95,1.3,-4.23,0
Calefactor,22,1500.0,1500,1500.0,30.0,0.0,0
Microondas,18,1000.0,1000,1000.0,20.0,0.0,0
Computadora,1,3.0,300,3.0,6.0,-3.65,0
Luces,19,55.95,60,55.95,1.2,-2.02,0
Secadora,20,2500.0,2500,2500.0,50.0,0.0,0
Laptop,9,65.0,65,65.0,1.3,0.0,0
Lavadora,1,532.91,500,532.91,10.0,-0.66,0
Microondas,19,920.76,1000,920.76,20.0,-1.29,0
Lavadora,1,529.3,500,529.3,10.0,1.01,0
Lavadora,23,500.0,500,500.0,10.0,0.0,0
Router,4,12.0,12,12.0,0.24,0.0,0
Computadora,12,292.21,300,292.21,6.0,3.3,0
Laptop,8,62.67,65,62.67,1.3,3.93,0
Mini Refrigerador,21,85.61,80,85.61,1.6,-3.53,0
Aire Acondicionado,7,1233.24,1200,1233.24,24.0,-2.35,0
Luces,21,60.0,60,60.0,1.2,0.0,0
Router,19,10.82,12,10.82,0.24,-3.67,0
Aire Acondicionado,10,1310.04,1200,1310.04,24.0,-2.51,0
Secadora,6,2500.0,2500,2500.0,50.0,0.0,0
Luces,10,60.97,60,60.97,1.2,-4.7,0
Computadora,15,79.02,300,79.02,6.0,3.96,0
Microondas,3,1000.0,1000,1000.0,20.0,0.0,0
Aire Acondicionado,0,1187.73,1200,1187.73,24.0,4.14,0
Refrigerador,11,240.0,150,150.0,3.0,0.0,1
Secadora,10,2301.35,2500,2301.35,50.0,-3.95,0
Secadora,2,2500.0,2500,2500.0,50.0,0.0,0
Laptop,8,65.0,65,65.0,1.3,0.0,0
Lavadora,0,492.5,500,492.5,10.0,3.1,0
Horno,16,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,23,491.05,500,491.05,10.0,2.79,0
Aire Acondicionado,16,1997.17,1200,1997.17,24.0,0.24,4
Router,11,12.0,12,12.0,0.24,0.0,0
Refrigerador,6,147.04,150,147.04,3.0,0.63,0
Horno,18,2300.52,2200,2300.52,44.0,-3.72,0
Horno,2,2123.83,2200,2123.83,44.0,4.4,0
Horno,9,2200.0,2200,2200.0,44.0,0.0,0
Televisor,16,120.0,120,120.0,2.4,0.0,0
Horno,7,2200.0,2200,2200.0,44.0,0.0,0
Laptop,23,61.82,65,61.82,1.3,1.1,0
Lavadora,23,549.44,500,549.44,10.0,0.24,0
Luces,14,57.01,60,57.01,1.2,1.98,0
Refrigerador,17,163.23,150,163.23,3.0,-3.53,0
Secadora,23,2500.0,2500,2500.0,50.0,0.0,0
Computadora,2,3.0,300,3.0,6.0,-0.72,0
Laptop,21,65.59,65,65.59,1.3,-2.17,0
Calefactor,16,1500.0,1500,1500.0,30.0,0.0,0
Secadora,18,2500.0,2500,2500.0,50.0,0.0,0
Calefactor,7,1429.83,1500,1429.83,30.0,2.13,0
Refrigerador,8,135.8,150,135.8,3.0,-4.89,0
Router,10,12.0,12,12.0,0.24,0.0,0
Computadora,13,59.25,300,59.25,6.0,-2.8,0
Horno,5,2163.28,2200,2163.28,44.0,-2.05,0
Secadora,21,2500.0,2500,2500.0,50.0,0.0,0
Mini Refrigerador,19,80.0,80,80.0,1.6,0.0,0
Lavadora,23,500.0,500,500.0,10.0,0.0,0
Lavadora,10,543.5,500,543.5,10.0,-2.79,0
Router,9,12.09,12,12.09,0.24,3.19,0
Laptop,23,65.0,65,65.0,1.3,0.0,0
Microondas,8,1000.0,1000,1000.0,20.0,0.0,0
Secadora,4,2417.0,2500,2417.0,50.0,-3.82,0
Luces,20,60.0,60,60.0,1.2,0.0,0
Horno,11,2200.0,2200,2200.0,44.0,0.0,0
Refrigerador,6,240.0,150,150.0,3.0,0.0,1
Mini Refrigerador,16,80.0,80,80.0,1.6,0.0,0
Laptop,20,61.37,65,61.37,1.3,1.78,0
Refrigerador,3,149.85,150,149.85,3.0,-3.59,0
Refrigerador,2,240.0,150,150.0,3.0,0.0,1
Lavadora,13,500.0,500,500.0,10.0,0.0,0
Secadora,3,2500.0,2500,2500.0,50.0,0.0,0
Mini Refrigerador,3,80.0,80,80.0,1.6,0.0,0
Mini Refrigerador,6,74.39,80,74.39,1.6,3.9,0
Mini Refrigerador,2,80.0,80,80.0,1.6,0.0,0
Luces,11,60.0,60,60.0,1.2,0.0,0
Microondas,18,1067.15,1000,1067.15,20.0,-3.62,0
Microondas,23,1040.62,1000,1040.62,20.0,-1.13,0
Mini Refrigerador,5,80.0,80,80.0,1.6,0.0,0
Horno,22,2026.23,2200,2026.23,44.0,2.95,0
Luces,7,60.0,60,60.0,1.2,0.0,0
Mini Refrigerador,1,86.87,80,86.87,1.6,-2.54,0
Televisor,22,114.83,120,114.83,2.4,4.18,0
Laptop,19,62.17,65,62.17,1.3,-2.23,0
Secadora,2,2428.34,2500,2428.34,50.0,2.21,0
Televisor,5,120.0,120,120.0,2.4,0.0,0
Laptop,17,325.0,65,65.0,1.3,0.0,18
Computadora,12,302.6,300,302.6,6.0,2.36,0
Mini Refrigerador,17,80.0,80,80.0,1.6,0.0,0
Laptop,21,67.21,65,67.21,1.3,4.41,0
Lavadora,19,507.65,500,507.65,10.0,3.76,0
Luces,4,300.0,60,60.0,1.2,0.0,18
Horno,0,2303.72,2200,2303.72,44.0,2.38,0
Aire Acondicionado,21,2048.71,1200,2048.71,24.0,1.84,4
Televisor,14,120.0,120,120.0,2.4,0.0,0
Aire Acondicionado,14,1092.07,1200,1092.07,24.0,1.42,0
Laptop,16,64.96,65,64.96,1.3,0.85,0
Calefactor,23,1532.18,1500,1532.18,30.0,-3.8,0
Horno,2,2175.31,2200,2175.31,44.0,4.58,0
Horno,0,2081.64,2200,2081.64,44.0,3.57,0
Microondas,1,978.14,1000,978.14,20.0,1.12,0
Lavadora,9,500.0,500,500.0,10.0,0.0,0
Lavadora,17,451.23,500,451.23,10.0,1.69,0
Luces,18,61.34,60,61.34,1.2,-3.49,0
Secadora,15,2616.52,2500,2616.52,50.0,-4.07,0
Secadora,21,2525.0,2500,2525.0,50.0,-0.65,0
Luces,23,65.51,60,65.51,1.2,0.15,0
Mini Refrigerador,18,86.08,80,86.08,1.6,-0.35,0
Mini Refrigerador,4,80.0,80,80.0,1.6,0.0,0
Microondas,6,976.99,1000,976.99,20.0,-4.71,0
Aire Acondicionado,8,2156.21,1200,2156.21,24.0,1.51,4
Televisor,0,120.0,120,120.0,2.4,0.0,0
Refrigerador,22,159.51,150,159.51,3.0,-4.47,0
Mini Refrigerador,5,83.99,80,83.99,1.6,-3.34,0
Laptop,8,65.0,65,65.0,1.3,0.0,0
Lavadora,23,488.51,500,488.51,10.0,-3.06,0
Laptop,17,325.0,65,65.0,1.3,0.0,18
Microondas,16,1065.56,1000,1065.56,20.0,-3.7,0
Lavadora,14,545.91,500,545.91,10.0,1.17,0
Microondas,9,1000.0,1000,1000.0,20.0,0.0,0
Luces,14,64.57,60,64.57,1.2,3.99,0
Microondas,19,926.85,1000,926.85,20.0,-1.21,0
Router,6,13.0,12,13.0,0.24,2.33,0
Horno,23,2200.0,2200,2200.0,44.0,0.0,0
Televisor,8,120.0,120,120.0,2.4,0.0,0
Horno,15,2085.15,2200,2085.15,44.0,2.14,0
Luces,13,64.64,60,64.64,1.2,-1.44,0
Televisor,14,123.89,120,123.89,2.4,4.47,0
Router,21,12.42,12,12.42,0.24,1.13,0
Router,7,12.4,12,12.4,0.24,-2.02,0
Calefactor,2,1500.0,1500,1500.0,30.0,0.0,0
Calefactor,7,1385.37,1500,1385.37,30.0,1.08,0
Horno,1,2200.0,2200,2200.0,44.0,0.0,0
